"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
"AAK,""city"",""Аранука"",""Aranuka"",""0.1904667:173.6295222"",,""Kiribati"""
"AAL,""city"",""Ольборг"",""Aalborg"",""57.028811:9.917771"",""Europe/Copenhagen"",""Denmark"""
"AAM,""city"",""Мала Мала"",""Mala Mala"",""-24.82:31.54"",""Africa/Johannesburg"",""South Africa"""
"AAN,""city"",""Аль-Айн"",""Al Ain"",""24.2075:55.7447222"",""Asia/Amman"",""United Arab Emirates"""
"AAO,""city"",""Анако"",""Anaco"",""9.43:-64.47"",""America/Caracas"",""Venezuela"""
"AAQ,""city"",""Анапа"",""Anapa"",""44.8950197:37.3310394"",""Europe/Moscow"",""Russia"""
"AAR,""city"",""Орхус"",""Aarhus"",""56.162939:10.203921"",""Europe/Copenhagen"",""Denmark"""
"AAS,""city"",""Апалапзили"",""Apalapsili"",""-3.916667:139.25"",""Asia/Jayapura"",""Indonesia"""
"AAT,""city"",""Алтай"",""Altay"",""47.844924:88.141253"",""Asia/Urumqi"",""China"""
"AAU,""city"",""Асау"",""Asau"",,""+11.0"",""Samoa"""
"AAV,""city"",""Сураллах"",""Surallah"",""6.37:124.75"",""Asia/Manila"",""Philippines"""
"AAW,""city"",""Абботтабад"",""Abbottabad"",""34.1466667:73.2163889"",""Asia/Karachi"",""Pakistan"""
"AAX,""city"",""Араша"",""Araxa"",""-19.5940015:-46.9409653"",""America/Sao_Paulo"",""Brazil"""
"AAY,""city"",""Аль Гхайдах"",""Al Ghaydah"",""16.19:52.18"",""Asia/Aden"",""Yemen"""
"AAZ,""city"",""Кесальтенанго"","": Quetzaltenango"",""14.836156:-91.521959"",""Africa/Luanda"",""Guatemala"""
"ABA,""city"",""Абакан"",""Abakan"",""53.7291718:91.4611893"",""Asia/Krasnoyarsk"",""Russia"""
"ABC,""city"",""Альбасете"",""Albacete"",""38.9976516:-1.8600701"",""+0.0"",""Spain"""
"ABD,""city"",""Абадан"",""Abadan"",""30.0833333:48.5333333"",""Asia/Tehran"",""Iran"""
"ABE,""city"",""Аллентаун"",""Allentown"",""40.6084305:-75.4901833"",""America/Chicago"",""United States"""
"ABF,""city"",""Абаианг"",""Abaiang"",""2.0:173.0"",""Pacific/Tarawa"",""Kiribati"""
"ABG,""city"",""Абингдон"",""Abingdon"",,""-10.0"",""Australia"""
"ABH,""city"",""Альфа"",""Alpha"",""-23.6484459:146.6406439"",""Australia/Brisbane"",""Australia"""
"ABI,""city"",""Абилин"",""Abilene"",""32.4487364:-99.7331439"",""America/New_York"",""United States"""
"ABJ,""city"",""Абиджан"",""Abidjan"",""5.336318:-4.027751"",""Africa/Abidjan"",""Ivory Coast"""
"ABK,""city"",""Кабри Дар"",""Kabri Dar"",""6.73:44.25"",""Africa/Addis_Ababa"",""Ethiopia"""
"ABL,""city"",""Амблер"",""Ambler"",""67.0861111:-157.8513889"",""America/Chicago"",""United States"""
"ABM,""city"",""Бамага"",""Bamaga"",""-10.88658:142.3881988"",""Australia/Lindeman"",""Australia"""
"ABN,""city"",""Албина"",""Albina"",""5.5050681:-54.0793451"",""+3.0"",""Suriname"""
"ABO,""city"",""Абуассо"",""Aboisso"",""5.466667:-3.2"",""Africa/Abidjan"",""Ivory Coast"""
"ABP,""city"",""Аткамба"",""Atkamba"",""-6.05:141.08"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"ABQ,""city"",""Альбукерке"",""Albuquerque"",""35.0844909:-106.6511367"",""America/Denver"",""United States"""
"ABR,""city"",""Абердин"",""Aberdeen"",""45.4646985:-98.4864829"",""America/Chicago"",""United States"""
"ABS,""city"",""Абу Симбел"",""Abu Simbel"",""22.38:31.61"",""Africa/Cairo"",""Egypt"""
"ABT,""city"",""Аль-Баха"",""Al-Baha"",""20.3:41.63"",""Asia/Amman"",""Saudi Arabia"""
"ABU,""city"",""Атамбуа"",""Atambua"",""-9.07:124.9"",""Asia/Makassar"",""Indonesia"""
"ABV,""city"",""Абуджа"",""Abuja"",""9.0666667:7.4833333"",""Africa/Lagos"",""Nigeria"""
"ABW,""city"",""Абау"",""Abau"",""-10.2:148.73"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"ABX,""city"",""Олбери"",""Albury"",""-36.0807785:146.9164693"",""Australia/Sydney"",""Australia"""
"ABY,""city"",""Олбани"",""Albany"",""31.5785074:-84.155741"",""America/New_York"",""United States"""
"ABZ,""city"",""Абердин"",""Aberdeen"",""57.1474915:-2.095397"",""Europe/London"",""United Kingdom"""
"ACA,""city"",""Акапулько"",""Acapulco"",""16.863794:-99.881614"",""America/Mexico_City"",""Mexico"""
"ACB,""city"",""Беллер"",""Bellaire"",""44.9802822:-85.2111728"",""America/Chicago"",""United States"""
"ACC,""city"",""Аккра"",""Accra"",""5.555717:-0.196306"",""Africa/Accra"",""Ghana"""
"ACD,""city"",""Аканди"",""Acandi"",""8.5:-73.63"",""America/Bogota"",""Colombia"""
"ACE,""city"",""Аресифе"",""Arrecife"",""28.9595062:-13.5476012"",""Atlantic/Canary"",""Spain"""
"ACH,""city"",""Альтенрхайм"",""Altenrhein"",""47.4674873:9.566754"",""Europe/Zurich"",""Switzerland"""
"ACI,""city"",""Олдерни"",""Alderney"",""49.7137136:-2.1997945"",""Europe/London"",""United Kingdom"""
"ACJ,""city"",""Анурадхапура"",""Anuradhapura"",,,""Sri Lanka"""
"ACK,""city"",""Нантакет"",""Nantucket"",""41.2834563:-70.0994605"",""America/New_York"",""United States"""
"ACL,""city"",""Агуаклара"",""Aguaclara"",""4.73803:-73.00394"",""America/Bogota"",""Colombia"""
"ACM,""city"",""Арика"",""Arica"",""-2.13:-71.78"",""America/Bogota"",""Colombia"""
"ACN,""city"",""Акунья"",""Acuna"",""29.33:-101.1"",""America/Matamoros"",""Mexico"""
"ACO,""city"",""Аскона"",""Ascona"",""46.15732:8.7773558"",""Europe/Zurich"",""Switzerland"""
"ACP,""city"",""Саханд"",""Sahand"",,""+0.0"",""Iran"""
"ACR,""city"",""Араракуара"",""Araracuara"",""-0.6:-72.4"",""America/Bogota"",""Colombia"""
"ACS,""city"",""Ачинск"",""Achinsk"",""56.28236:90.5170516"",""Asia/Krasnoyarsk"",""Russia"""
"ACT,""city"",""Вако"",""Waco"",""31.549333:-97.1466695"",""America/North_Dakota/New_Salem"",""United States"""
"ACU,""city"",""Ачутупо"",""Achutupo"",""9.18:-78.02"",""America/Panama"",""Panama"""
"ACV,""city"",""Арката"",""Arcata"",""40.8665166:-124.0828396"",""America/Los_Angeles"",""United States"""
"ACX,""city"",""Ксингюи"",""Xingyi"",,,""China"""
"ACY,""city"",""Атлантик-Сити"",""Atlantic City"",""39.3642834:-74.4229266"",,""United States"""
"ACZ,""city"",""Заболь"",""Zabol"",""31.03845:61.496181"",""+0.0"",""Iran"""
"ADA,""city"",""Адана"",""Adana"",""37.0:35.3213333"",""Europe/Istanbul"",""Turkey"""
"ADC,""city"",""Андакомбе"",""Andakombe"",,,""Papua New Guinea"""
"ADD,""city"",""Аддис-Абеба"",""Addis Ababa"",""9.022736:38.746799"",""Africa/Addis_Ababa"",""Ethiopia"""
"ADE,""city"",""Аден"",""Aden"",""12.8:45.0333333"",""Asia/Aden"",""Yemen"""
"ADF,""city"",""Адыяман"",""Adiyaman"",""37.7641667:38.2761667"",""Europe/Istanbul"",""Turkey"""
"ADG,""city"",""Адриан"",""Adrian"",""41.8975471:-84.0371659"",""America/New_York"",""United States"""
"ADH,""city"",""Алдан"",""Aldan"",""58.6:125.41"",""Asia/Yakutsk"",""Russia"""
"ADI,""city"",""Арандис"",""Arandis"",""-22.46:14.98"",""Africa/Windhoek"",""Namibia"""
"ADK,""city"",""Адак"",""Adak Island"",""51.7615874:-176.6217472"",""America/Adak"",""United States"""
"ADL,""city"",""Аделаида"",""Adelaide"",""-34.9286212:138.5999594"",""Australia/Adelaide"",""Australia"""
"ADN,""city"",""Андес"",""Andes"",""5.65:-75.9"",""America/Bogota"",""Colombia"""
"ADO,""city"",""Андамука"",""Andamooka"",""-30.4498651:137.1635473"",""Australia/Adelaide"",""Australia"""
"ADQ,""city"",""Кадьяк"",""Kodiak"",""57.79:-152.4072222"",""America/Chicago"",""United States"""
"ADR,""city"",""Эндрюс"",""Andrews"",""33.451278:-79.5608971"",""America/Chicago"",""United States"""
"ADT,""city"",""Ада"",""Ada"",""34.774531:-96.6783449"",""America/North_Dakota/New_Salem"",""United States"""
"ADU,""city"",""Ардабил"",""Ardabil"",""38.33:48.42"",""Asia/Tehran"",""Iran"""
"ADV,""city"",""Эндовер"",""Andover"",""51.2093176:-1.4783522"",""Europe/London"",""United Kingdom"""
"ADW,""city"",""Камп Спрингс"",""Camp Springs"",,""America/New_York"",""United States"""
"ADX,""city"",""Сент-Эндрюс"",""St Andrews"",""56.3389114:-2.7989253"",""Europe/London"",""United Kingdom"""
"ADY,""city"",""Олдэйс"",""Alldays"",""-22.68:29.06"",""Africa/Johannesburg"",""South Africa"""
"ADZ,""city"",""Сан Андрес Айленд"",""San Andres Island"",""12.58:-81.71"",""America/Bogota"",""Colombia"""
"AEA,""city"",""Абемама"",""Abemama Atoll"",""0.3866713:173.7783322"",""Pacific/Tarawa"",""Kiribati"""
"AED,""city"",""Аленива"",""Aleneva"",""58.06:-152.9097222"",""America/Anchorage"",""United States"""
"AEG,""city"",""Аек Годанг"",""Aek Godang"",""1.4:99.43"",""Asia/Jakarta"",""Indonesia"""
"AEH,""city"",""Абечер"",""Abecher"",""13.85:20.84"",""Africa/Ndjamena"",""Chad"""
"AEI,""city"",""Альхесирас"",""Algeciras"",""36.1297803:-5.4476981"",""+0.0"",""Spain"""
"AEK,""city"",""Асеки"",""Aseki"",""-7.35:146.18"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AEL,""city"",""Альберт-Ли"",""Albert Lea"",""43.6485683:-93.3624319"",""America/Menominee"",""United States"""
"AEO,""city"",""Аюн-эль-Атрус"",""Aioun El Atrouss"",""16.661011:-9.617236"",""Africa/Nouakchott"",""Mauritania"""
"AER,""city"",""Адлер"",""Adler"",""43.448:39.914"",""Europe/Moscow"",""Russia"""
"AES,""city"",""Аалесунд"",""Aalesund"",""62.56:6.11"",""Europe/Oslo"",""Norway"""
"AET,""city"",""Аллакакет"",""Allakaket"",""66.5655556:-152.6455556"",""America/Anchorage"",""United States"""
"AEU,""city"",""Абу Муса"",""Abu Musa"",,""+0.0"",""Iran"""
"AEX,""city"",""Александрия"",""Alexandria"",""31.3112936:-92.4451371"",""America/New_York"",""United States"""
"AEY,""city"",""Акюрейри"",""Akureyri"",""65.683868:-18.11046"",""Atlantic/Reykjavik"",""Iceland"""
"AFA,""city"",""Сан-Рафаэль"",""San Rafael"",""-34.6131516:-68.341011"",""America/Argentina/Mendoza"",""Argentina"""
"AFD,""city"",""Порт Альфред"",""Port Alfred"",""-33.6:26.8833333"",""Africa/Johannesburg"",""South Africa"""
"AFI,""city"",""Амальфи"",""Amalfi"",""6.9166667:-75.0833333"",""America/Bogota"",""Colombia"""
"AFK,""city"",""Ампара"",""Ampara"",""7.2317591:81.647344"",,""Sri Lanka"""
"AFL,""city"",""Алта-Флореста"",""Alta Floresta"",""-9.8764971:-56.0864252"",""America/Cuiaba"",""Brazil"""
"AFN,""city"",""Джаффри"",""Jaffrey"",""42.813973:-72.0231359"",""America/New_York"",""United States"""
"AFO,""city"",""Афтон"",""Afton"",""42.7249282:-110.9318687"",""America/Chicago"",""United States"""
"AFR,""city"",""Афор"",""Afore"",""-9.133333:148.383333"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AFS,""city"",""Зарафшан"",""Zarafshan"",""41.578861:64.19313"",,""Uzbekistan"""
"AFT,""city"",""Афутара"",""Afutara"",,""+0.0"",""Solomon Islands"""
"AFY,""city"",""Афьонкарахисар"",""Afyon"",""38.76376:30.54034"",""Europe/Istanbul"",""Turkey"""
"AFZ,""city"",""Себзевар"",""Sabzevar"",,,""Iran"""
"AGA,""city"",""Агадир"",""Agadir"",""30.4:-9.6"",""Africa/Casablanca"",""Morocco"""
"AGD,""city"",""Ангги"",""Anggi"",""-1.383333:133.866667"",""Asia/Jayapura"",""Indonesia"""
"AGE,""city"",""Вангероге"",""Wangerooge"",""53.78812:7.9004975"",""Europe/Berlin"",""Germany"""
"AGF,""city"",""Ажен"",""Agen"",""44.203142:0.616363"",""Europe/Paris"",""France"""
"AGG,""city"",""Ангорам"",""Angoram"",""-4.05:144.07"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AGH,""city"",""Енгелхолм"",""Angelholm"",""56.2432:12.8615092"",""Europe/Stockholm"",""Sweden"""
"AGI,""city"",""Вагенинген"",""Wageningen"",,""+3.0"",""Suriname"""
"AGJ,""city"",""Агуни"",""Aguni"",""26.59:127.22"",""Asia/Tokyo"",""Japan"""
"AGK,""city"",""Кагуа"",""Kagua"",""-6.38:143.85"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AGL,""city"",""Ванигела"",""Wanigela"",""-9.33:149.15"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AGM,""city"",""Тасиилак"",""Tasiilaq"",""65.6043845:-37.7072462"",""America/Godthab"",""Greenland"""
"AGN,""city"",""Ангун"",""Angoon"",""57.5033333:-134.5838889"",""America/Juneau"",""United States"""
"AGO,""city"",""Магнолиа"",""Magnolia"",""33.2670725:-93.239334"",""America/Chicago"",""United States"""
"AGP,""city"",""Малага"",""Malaga"",""36.7196484:-4.4200163"",""Europe/Madrid"",""Spain"""
"AGQ,""city"",""Агринион"",""Agrinion"",""38.628633:21.412317"",""Europe/Athens"",""Greece"""
"AGR,""city"",""Агра"",""Agra"",""27.1766701:78.0080745"",""Asia/Kolkata"",""India"""
"AGS,""city"",""Огаста"",""Augusta"",""33.474246:-82.00967"",""America/Indiana/Vevay"",""United States"""
"AGT,""city"",""Сьюдад-дель-Эсте"",""Ciudad Del Este"",""-25.5085286:-54.6753231"",""America/Asuncion"",""Paraguay"""
"AGU,""city"",""Агуаскальентес"",""Aguascalientes"",""21.8817964:-102.2912701"",""America/Tijuana"",""Mexico"""
"AGV,""city"",""Акаригуа"",""Acarigua"",""9.563591:-69.205452"",""America/Caracas"",""Venezuela"""
"AGW,""city"",""Агнью"",""Agnew"",""-12.15:142.15"",""Australia/Perth"",""Australia"""
"AGX,""city"",""Агатти"",""Agatti Island"",""10.8575607:72.1934421"",""Asia/Kolkata"",""India"""
"AGY,""city"",""Аргил Даунс"",""Argyle Downs"",""-16.33:128.77"",""Australia/Perth"",""Australia"""
"AGZ,""city"",""Аггенейс"",""Aggeneys"",""-29.28:18.81"",""Africa/Johannesburg"",""South Africa"""
"AHB,""city"",""Абха"",""Abha"",""18.2202208:42.5081599"",""Asia/Riyadh"",""Saudi Arabia"""
"AHC,""city"",""Херлонг"",""Herlong"",""40.1435142:-120.1346519"",""America/Los_Angeles"",""United States"""
"AHD,""city"",""Ардмор"",""Ardmore"",""34.1742611:-97.1436254"",,""United States"""
"AHE,""city"",""Ахе"",""Ahe"",""-14.4311181:-146.2803612"",""Pacific/Tahiti"",""French Polynesia"""
"AHF,""city"",""Арапахо"",""Arapahoe"",""40.3038889:-99.8997222"",""America/New_York"",""United States"""
"AHH,""city"",""Амери"",""Amery"",""45.3069062:-92.3621369"",""America/Chicago"",""United States"""
"AHI,""city"",""Амахаи"",""Amahai"",""-3.35:128.93"",""Asia/Jayapura"",""Indonesia"""
"AHL,""city"",""Аишалтон"",""Aishalton"",""2.47:-59.32"",""America/Guyana"",""Guyana"""
"AHN,""city"",""Атина"",""Athens"",""33.955802:-83.3823656"",""America/Chicago"",""United States"""
"AHO,""city"",""Альгеро"",""Alghero"",""40.5579814:8.3222037"",""Europe/Rome"",""Italy"""
"AHS,""city"",""Ауас"",""Ahuas"",""15.4610734:-84.2771737"",""America/Tegucigalpa"",""Honduras"""
"AHT,""city"",""Амчитка"",""Amchitka"",""51.5422222:178.9833333"",""Pacific/Honolulu"",""United States"""
"AHU,""city"",""Эль-Хосейма"",""Al Hoceima"",""35.249299:-3.937112"",""Africa/Casablanca"",""Morocco"""
"AHY,""city"",""Амбатолахи"",""Ambatolahy"",""-20.0:45.53"",""Indian/Antananarivo"",""Madagascar"""
"AHZ,""city"",""Альп-д'Юэз"",""Alpe D Huez"",""45.09:6.08"",""Europe/Paris"",""France"""
"AIA,""city"",""Альянс"",""Alliance"",""42.1016344:-102.872145"",""America/Chicago"",""United States"""
"AIB,""city"",""Залив Анита"",""Anita Bay"",""56.2012215:-132.433335"",""America/Juneau"",""United States"""
"AIC,""city"",""Аирок"",""Airok"",""7.1:171.23"",""Pacific/Kwajalein"",""Marshall Islands"""
"AID,""city"",""Андерсон"",""Anderson"",""40.1053196:-85.6802541"",""America/Chicago"",""United States"""
"AIE,""city"",""Айоме"",""Aiome"",""-5.13:144.72"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AIF,""city"",""Ассис"",""Assis"",""-22.6606373:-50.404369"",""America/Fortaleza"",""Brazil"""
"AIG,""city"",""Ялинга"",""Yalinga"",""6.52:23.26"",""Africa/Bangui"",""Central African Republic"""
"AIH,""city"",,""Aiambak"",,,""Papua New Guinea"""
"AII,""city"",""Али Сабье"",""Alisabieh"",""11.15164:42.712231"",""Africa/Djibouti"",""Djibouti"""
"AIK,""city"",""Айкен"",""Aiken"",""33.5604168:-81.7195533"",""America/Chicago"",""United States"""
"AIL,""city"",""Аилиганди"",""Ailigandi"",""9.22:-78.02"",""America/Panama"",""Panama"""
"AIM,""city"",""Аилук"",""Ailuk Island"",""10.304809:169.9416549"",""Pacific/Kwajalein"",""Marshall Islands"""
"AIN,""city"",""Уэйнрайт"",""Wainwright"",""70.6369444:-160.0383333"",""America/Chicago"",""United States"""
"AIO,""city"",""Атлантик"",""Atlantic"",""41.4036007:-95.0138776"",""America/New_York"",""United States"""
"AIP,""city"",""Аилинглапалап"",""Ailinglapalap Island"",""7.4253719:168.792953"",""-12.0"",""Marshall Islands"""
"AIR,""city"",""Арипуанан"",""Aripuana"",""-10.19:-59.46"",""America/Cuiaba"",""Brazil"""
"AIS,""city"",""Арораэ"",""Arorae Island"",""-2.6421817:176.8295645"",""Pacific/Tarawa"",""Kiribati"""
"AIT,""city"",""Аитутаки"",""Aitutaki"",""-18.8717854:-159.7823059"",""Pacific/Rarotonga"",""Cook Islands"""
"AIU,""city"",""Атиу"",""Atiu Island"",""-19.9977887:-158.1073697"",""Pacific/Rarotonga"",""Cook Islands"""
"AIV,""city"",""Алисевилл"",""Aliceville"",""33.1295681:-88.1514166"",""America/North_Dakota/New_Salem"",""United States"""
"AIW,""city"",""Аи-Айс"",""Ai-ais"",""-27.98:17.58"",""Africa/Windhoek"",""Namibia"""
"AIZ,""city"",""Кайзер"",""Kaiser"",""38.1336451:-92.5899056"",""America/North_Dakota/New_Salem"",""United States"""
"AJA,""city"",""Аяччо"",""Ajaccio"",""41.919229:8.738635"",""Europe/Paris"",""France"""
"AJF,""city"",""Сакака Аль-Джуф"",""Sakaka Al Jouf"",""29.79:40.1"",""Asia/Riyadh"",""Saudi Arabia"""
"AJI,""city"",""Агръ"",""Agri"",""39.7216667:43.0566667"",,""Turkey"""
"AJJ,""city"",""Акжужт"",""Akjoujt"",""19.747311:-14.39091"",""Africa/Nouakchott"",""Mauritania"""
"AJK,""city"",""Арак"",""Araak"",""34.140461:49.848436"",,""Iran"""
"AJL,""city"",""Аиджал"",""Aizawl"",""23.75:92.8"",""Asia/Kolkata"",""India"""
"AJN,""city"",""Анжуан"",""Anjouan"",""-12.2138145:44.4370606"",""Indian/Comoro"",""Comoros"""
"AJO,""city"",""Альюф"",""Aljouf"",""15.72:44.25"",""Asia/Aden"",""Yemen"""
"AJR,""city"",""Арвидсъяур"",""Arvidsjaur"",""65.59:19.28"",""Europe/Stockholm"",""Sweden"""
"AJS,""city"",""Арбеохос"",""Abreojos"",""26.73:-113.56"",""America/Hermosillo"",""Mexico"""
"AJU,""city"",""Аракажу"",""Aracaju"",""-10.9095421:-37.0747732"",""America/Maceio"",""Brazil"""
"AJY,""city"",""Агадес"",""Agades"",""16.9666667:7.9833333"",""Africa/Niamey"",""Niger"""
"AKA,""city"",""Анкан"",""Ankang"",""32.684781:109.029303"",""Asia/Chongqing"",""China"""
"AKB,""city"",""Атка"",""Atka"",""52.1961111:-174.2005556"",""America/Adak"",""United States"""
"AKC,""city"",""Акрон"",""Akron"",""41.0814447:-81.5190053"",,""United States"""
"AKD,""city"",""Акола"",""Akola"",""20.70388:76.997093"",""Asia/Kolkata"",""India"""
"AKE,""city"",""Акиени"",""Akieni"",""-1.13:13.92"",""Africa/Libreville"",""Gabon"""
"AKF,""city"",""Куфра"",""Kufrah"",""24.18:23.31"",""Africa/Tripoli"",""Libya"""
"AKG,""city"",""Ангуганак"",""Anguganak"",""-3.55:142.22"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"AKH,""city"",""Эль-Харж"",""Al Kharj"",""24.1585059:47.3217253"",,""Saudi Arabia"""
"AKI,""city"",""Акиак"",""Akiak"",""60.9122222:-161.2138889"",""America/Nome"",""United States"""
"AKJ,""city"",""Асахикава"",""Asahikawa"",""43.7706355:142.364819"",""Asia/Tokyo"",""Japan"""
"AKK,""city"",""Акхайок"",""Akhiok"",""56.9455556:-154.1702778"",""America/Anchorage"",""United States"""
"AKL,""city"",""Окленд"",""Auckland"",""-36.8484597:174.7633315"",""Pacific/Auckland"",""New Zealand"""
"AKM,""city"",""Закума"",""Zakouma"",""10.9:19.82"",""Africa/Ndjamena"",""Chad"""
"AKN,""city"",""Кинг Салмон"",""King Salmon"",""58.6883333:-156.6613889"",""America/Los_Angeles"",""United States"""
"AKO,""city"",""Акрон"",""Akron"",""40.1605373:-103.2143843"",""America/Phoenix"",""United States"""
"AKP,""city"",""Анактавак"",""Anaktuvuk"",""68.13:-151.74"",""America/Nome"",""United States"""
"AKQ,""city"",""Ганунг Батин"",""Astraksetra"",""-4.616667:105.233333"",""Asia/Pontianak"",""Indonesia"""
"AKR,""city"",""Акуре"",""Akure"",""7.25:5.3"",""Africa/Lagos"",""Nigeria"""
"AKT,""city"",""Акротири"",""Akrotiri"",""34.59:32.99"",""Asia/Nicosia"",""Cyprus"""
"AKU,""city"",""Аксу"",""Aksu"",""41.168779:80.260605"",""Asia/Kashgar"",""China"""
"AKV,""city"",""Акуливик"",""Akulivik"",""60.817681:-78.1442409"",""America/Montreal"",""Canada"""
"AKW,""city"",""Агаджари"",""Aghajari"",,,""Iran"""
"AKX,""city"",""Актюбинск"",""Aktyubinsk"",""50.25:57.21"",""Asia/Aqtobe"",""Kazakhstan"""
"AKY,""city"",""Ситуэ"",""Sittwe"",""20.1444444:92.8969444"",""Asia/Rangoon"",""Myanmar"""
"ALA,""city"",""Алматы"",""Almaty"",""43.255058:76.912628"",""Asia/Almaty"",""Kazakhstan"""
"ALB,""city"",""Олбани"",""Albany"",""42.6525793:-73.7562317"",""America/New_York"",""United States"""
"ALC,""city"",""Аликанте"",""Alicante"",""38.34521:-0.4809945"",""Europe/Madrid"",""Spain"""
"ALD,""city"",""Алерта"",""Alerta"",""-11.68:-69.33"",""America/Lima"",""Peru"""
"ALE,""city"",""Алпайн"",""Alpine"",""30.3584919:-103.6610115"",""+6.0"",""United States"""
"ALF,""city"",""Алта"",""Alta"",""69.98:23.37"",""Europe/Oslo"",""Norway"""
"ALG,""city"",""Алжир"",""Algiers"",""36.752887:3.042048"",""Africa/Algiers"",""Algeria"""
"ALH,""city"",""Олбани"",""Albany"",""-35.0238227:117.8847286"",""Australia/Perth"",""Australia"""
"ALI,""city"",""Элис"",""Alice"",""27.7522487:-98.0697249"",""America/Chicago"",""United States"""
"ALJ,""city"",""Александер-Бей"",""Alexander Bay"",""-28.60453:16.48712"",""Africa/Johannesburg"",""South Africa"""
"ALK,""city"",""Асэлла"",""Asela"",""7.949604:39.139839"",""Africa/Addis_Ababa"",""Ethiopia"""
"ALL,""city"",""Альбенга"",""Albenga"",""44.0484502:8.2149591"",""Europe/Rome"",""Italy"""
"ALM,""city"",""Аламогордо"",""Alamogordo"",""32.8995325:-105.960265"",""America/Denver"",""United States"""
